timestamp,open,high,low,close,volume
1732230000000,154.464,154.512,154.104,154.154,14565.8701
1732233600000,154.155,154.413,153.963,154.33,35001.3008
1732237200000,154.329,154.438,154.223,154.413,28735.25
1732240800000,154.414,154.493,154.347,154.392,21495.8594
1732244400000,154.39,154.481,154.185,154.262,22145.5605
1732248000000,154.263,154.444,154.263,154.421,19898.8398
1732251600000,154.422,154.728,154.422,154.702,26695.2305
1732255200000,154.703,154.954,154.679,154.9,25146.0293
1732258800000,154.899,154.926,154.658,154.726,38014.9883
1732262400000,154.728,154.867,154.399,154.511,52560.6992
1732266000000,154.509,154.821,154.251,154.502,50914.4688
1732269600000,154.499,154.552,154.252,154.324,38749.1094
1732273200000,154.323,154.466,154.28,154.312,31588.7402
1732276800000,154.312,154.546,154.289,154.499,34165.6484
1732280400000,154.498,154.566,154.189,154.269,44703.1289
1732284000000,154.271,155.022,154.27,154.872,50266.6289
1732287600000,154.875,154.913,154.596,154.897,64009.5117
1732291200000,154.898,154.92,154.712,154.733,40302.7383
1732294800000,154.732,154.823,154.672,154.754,25197.1992
1732298400000,154.755,154.806,154.704,154.74,20728.6602
1732302000000,154.74,154.814,154.661,154.801,21060.9297
1732305600000,154.802,154.886,154.739,154.834,19004.0898
1732309200000,154.836,154.853,154.708,154.73,6516.3198
1732485600000,154.117,154.375,154.109,154.251,2355.8101
1732489200000,154.251,154.389,154.052,154.147,16332.0498
1732492800000,154.148,154.203,153.817,154.202,43121.3398
1732496400000,154.215,154.233,153.647,153.766,36104.4805
1732500000000,153.765,153.803,153.548,153.761,28224.0391
1732503600000,153.761,153.958,153.629,153.945,29958.9492
1732507200000,153.944,154.168,153.937,154.095,25968.6094
1732510800000,154.095,154.396,154.092,154.262,27468.6895
1732514400000,154.262,154.48,154.181,154.295,32647.9609
1732518000000,154.294,154.557,154.15,154.538,39582.5
1732521600000,154.536,154.722,154.48,154.692,44382.75
1732525200000,154.693,154.698,154.355,154.422,36604.4102
1732528800000,154.423,154.48,154.345,154.419,28826.8301
1732532400000,154.42,154.507,154.314,154.504,22204.1602
1732536000000,154.504,154.561,154.132,154.197,29492.7305
1732539600000,154.195,154.197,153.754,153.926,48405.5586
1732543200000,153.926,154.018,153.627,153.748,55991.1719
1732546800000,153.749,154.39,153.644,154.368,45527.0898
1732550400000,154.371,154.517,154.279,154.292,41219.7617
1732554000000,154.293,154.383,154.223,154.318,30971.8594
1732557600000,154.318,154.339,154.097,154.108,29494.0293
1732561200000,154.109,154.199,153.991,154.135,29500.7305
1732564800000,154.135,154.178,154.077,154.139,22943.8496
1732568400000,154.137,154.264,154.137,154.182,7394.9702
1732572000000,154.182,154.215,154.027,154.094,1073.0601
1732575600000,154.104,154.485,153.878,154.38,25459.8398
1732579200000,154.38,154.413,153.933,154.01,51901.6914
1732582800000,154.011,154.111,153.835,154.051,42485.5195
1732586400000,154.052,154.221,153.898,153.981,28990.6992
1732590000000,153.982,154.064,153.721,153.741,24173.3691
1732593600000,153.741,153.911,153.666,153.838,22446.1797
1732597200000,153.838,153.842,153.544,153.714,23846.0898
1732600800000,153.712,154.061,153.601,154.052,30645.1504
1732604400000,154.052,154.219,154.028,154.038,38859.6992
1732608000000,154.036,154.054,153.789,153.967,39122.4492
1732611600000,153.966,154.119,153.882,153.924,30907.2109
1732615200000,153.925,153.982,153.707,153.765,25016.1895
1732618800000,153.768,153.868,153.716,153.777,27163.1191
1732622400000,153.777,153.802,153.067,153.255,41998
1732626000000,153.256,153.482,152.987,153.429,44796.4102
1732629600000,153.429,153.678,153.397,153.508,40829.0781
1732633200000,153.508,153.719,153.36,153.461,47427.4492
1732636800000,153.463,153.681,153.413,153.488,38688.8594
1732640400000,153.489,153.515,153.25,153.325,34576.6797
1732644000000,153.325,153.486,153.267,153.369,29021.2109
1732647600000,153.377,153.411,153.082,153.109,37365.75
1732651200000,153.109,153.14,153.024,153.059,28848.9707
1732654800000,153.06,153.15,153.004,153.061,10105.6699
1732658400000,153.042,153.091,152.993,153.048,1722.27
1732662000000,153.065,153.23,152.93,152.931,9033.4199
1732665600000,152.93,153.012,152.759,152.91,31558.6406
1732669200000,152.911,153.032,152.507,152.547,34855.0195
1732672800000,152.549,152.748,152.526,152.64,24744.8203
1732676400000,152.637,152.653,152.382,152.45,23981.7109
1732680000000,152.449,152.467,152.249,152.31,19281.0508
1732683600000,152.31,152.475,152.233,152.436,23012.2793
1732687200000,152.436,152.464,152.067,152.079,27889.0605
1732690800000,152.078,152.166,151.838,151.951,45693.9492
1732694400000,151.951,151.956,151.429,151.824,61594.1094
1732698000000,151.824,151.891,151.355,151.472,45311.7891
1732701600000,151.472,151.491,151.222,151.395,41485.7617
1732705200000,151.395,151.613,151.364,151.484,29519.2695
1732708800000,151.485,151.589,151.305,151.482,35525.0195
1732712400000,151.482,151.625,151.297,151.328,43831.0117
1732716000000,151.329,151.488,150.996,151.367,47606.4883
1732719600000,151.36,151.803,150.93,151.1,61666.6602
1732723200000,151.102,151.373,150.453,150.704,46271.6992
1732726800000,150.704,150.863,150.532,150.759,31496.0391
1732730400000,150.758,150.881,150.677,150.854,23355.6309
1732734000000,150.852,151.054,150.851,151.022,26219.1699
1732737600000,151.021,151.188,151.02,151.091,27851.0605
1732741200000,151.09,151.19,151.053,151.053,9007.3896
1732744800000,151.056,151.104,150.855,150.913,2095.4399
1732748400000,150.914,151.379,150.896,151.337,9101.9102
1732752000000,151.338,151.708,151.281,151.681,23460.0391
1732755600000,151.682,151.746,151.405,151.43,29106.8809
1732759200000,151.429,151.615,151.343,151.444,18609.6895
1732762800000,151.443,151.714,151.415,151.624,17671.3906
1732766400000,151.624,151.654,151.531,151.623,16794.4395
1732770000000,151.624,151.662,151.48,151.543,18043.0293
1732773600000,151.542,151.65,151.36,151.544,25898.8906
1732777200000,151.545,151.773,151.535,151.753,31441.3691
1732780800000,151.754,151.917,151.694,151.831,37794.4102
1732784400000,151.831,151.946,151.789,151.891,29144.5996
1732788000000,151.891,151.948,151.84,151.85,19527.1895
1732791600000,151.848,151.895,151.759,151.833,19871.6406
1732795200000,151.833,151.845,151.638,151.761,19913.4707
1732798800000,151.762,151.773,151.557,151.567,20992.7695
1732802400000,151.569,151.602,151.478,151.522,21214.1504
1732806000000,151.523,151.57,151.403,151.517,19887.6797
1732809600000,151.518,151.569,151.464,151.478,11607.9297
1732813200000,151.479,151.546,151.456,151.49,9061.5303
1732816800000,151.492,151.554,151.454,151.531,5519.4302
